Start
0.0006476278674118919
-5.327222544660934e-06,0.0020370083033098858
0.00010195548029014352,4.647816906343423e-05
6.637626877625986e-05,6.971702736670651e-06
4.689747780359417e-05,5.764676943183789e-05,5.486558386835934e-05
3.1445444230506284e-05,3.904178676080017e-05,2.585573686110683e-05
3.1250985518848184e-05,-8.480807397471743e-06,-7.670328305188143e-06,-4.3991916140615e-06
3.149747870819681e-05,-8.474451591340346e-06,-7.662594710520707e-06,-4.240992510967649e-06
3.174540620334462e-05,-8.46811326417167e-06,-7.654832053336988e-06,-4.080747469357896e-06
3.199480918214442e-05,-8.461792061069048e-06,-7.647040272338798e-06,-3.918404827127092e-06
3.2245728612991556e-05,-8.455487746637444e-06,-7.63921941060279e-06,-3.753913090035809e-06
3.249820530961341e-05,-8.449200158409595e-06,-7.631369591613521e-06,-3.587220890188001e-06
3.2752279954869854e-05,-8.442929195563373e-06,-7.623490996045909e-06,-3.4182769516279643e-06
3.300799313135373e-05,-8.43667478832126e-06,-7.615583836230108e-06,-3.247030061432907e-06
3.326538533031427e-05,-8.430436892801693e-06,-7.6076483470754325e-06,-3.0734290583747996e-06
3.352449696131606e-05,-8.424215485870398e-06,-7.599684785695657e-06,-2.8974228244687957e-06
3.378536836436822e-05,-8.418010551956498e-06,-7.591693417697762e-06,-2.718960273440797e-06
3.4048039809369265e-05,-8.411822089783236e-06,-7.583674515252922e-06,-2.5379903449959225e-06
3.431255150092273e-05,-8.405650102403725e-06,-7.575628356388739e-06,-2.3544620070112007e-06
3.457894358510953e-05,-8.399494596548693e-06,-7.567555229790954e-06,-2.168324250608955e-06
3.4847256143728644e-05,-8.393355583681192e-06,-7.559455417872549e-06,-1.9795260840922097e-06
3.5117529198904576e-05,-8.387233084270959e-06,-7.55132921638306e-06,-1.7880165399668513e-06
3.538980271537719e-05,-8.381127116997497e-06,-7.543176911329816e-06,-1.5937446623544745e-06
3.566411660395723e-05,-8.37503770090113e-06,-7.534998802903245e-06,-1.396659522341216e-06
3.594051071651652e-05,-8.368964860906367e-06,-7.526795184243859e-06,-1.1967102008109301e-06
3.6219024843073555e-05,-8.362908629403962e-06,-7.518566354598397e-06,-9.938457987425085e-07
3.649969872954322e-05,-8.356869030319222e-06,-7.510312613366252e-06,-7.880154316171308e-07
3.678257205658706e-05,-8.35084609927643e-06,-7.502034264693022e-06,-5.791682341367129e-07
3.706768445746007e-05,-8.344839867778162e-06,-7.493731605271933e-06,-3.672533468873524e-07
3.735507550744976e-05,-8.338850373558124e-06,-7.485404948560578e-06,-1.5221993970952396e-07
3.764478473027375e-05,-8.332877653905932e-06,-7.4770545943608074e-06,6.598281754242019e-08
3.793685159438833e-05,-8.326921749691671e-06,-7.468680853993034e-06,2.874057317410776e-07
3.823131551563907e-05,-8.320982706642652e-06,-7.460284036959683e-06,5.120995990453936e-07
3.852821586207647e-05,-8.31506056386648e-06,-7.451864452832566e-06,7.401152052198507e-07
3.882759194135489e-05,-8.309155374195895e-06,-7.443422419968135e-06,9.715033143657042e-07
3.9129483017483016e-05,-8.303267182914117e-06,-7.434958247050025e-06,1.206314690126243e-06
