0.000422110065033611,0.0001815922233066644,4.189883213531114e-05,-5.81161512758048e-06,-2.9767879923241897e-06
0.0004299125143254983,0.00018580363542785347,4.356930696576393e-05,-5.766262533448904e-06,-2.9174349169807517e-06
0.000437762875574225,0.00019004081948480162,4.5250495395294043e-05,-5.7200223204708495e-06,-2.8584959215188083e-06
0.0004456610634531706,0.0001943036218455129,4.694228231014963e-05,-5.672897933418561e-06,-2.799963374265288e-06
0.0004536069998993274,0.00019859189372404537,4.864455520762216e-05,-5.624892635015463e-06,-2.7418299592945478e-06
0.00046160061395068846,0.00020290549106924608,5.035720413927931e-05,-5.576009513423227e-06,-2.6840886821876547e-06
0.00046964184157715304,0.0002072442744455686,5.208012164536473e-05,-5.526251494856679e-06,-2.6267328851869304e-06
0.00047773062552784355,0.00021160810892916304,5.3813202703443225e-05,-5.475621352999879e-06,-2.569756228460937e-06
0.000485866915182717,0.00021599686400724136,5.5556344679661984e-05,-5.42412169691163e-06,-2.5131527039406326e-06
0.0004940506663836518,0.00022041041345591798,5.730944725750897e-05,-5.371755011701271e-06,-2.4569166214832147e-06
0.0005022818413071607,0.000224848635259018,5.907241240703892e-05,-5.318523622612967e-06,-2.4010426120640166e-06
0.0005105604083005353,0.00022931141148938036,6.0845144315643966e-05,-5.264429737228057e-06,-2.3455256228221283e-06
0.0005188863417541571,0.00023379862822577144,6.262754935389353e-05,-5.2094754192637954e-06,-2.290360909594155e-06
0.0005272420696078587,0.00023829522525282523,6.440770205727552e-05,-5.1619546297520386e-06,-2.23333231531668e-06
